Название;Описание;Цена;Цена до скидки;Фото 1;Фото 2;Фото 3;Категория;Sub category;Бренд
"SAFI (сироп Сафи) - растительный очиститель крови и лимфы Hamdard, 500 мл
";"Сироп Safi - это натуральное растительное аюрведическое средство для комплексного очищения кровеносной и лимфатической системы. Как следствие, происходит освобождение от паразитов, очищение кожи, нормализуется пищеварение. Травяной сироп Сафи Хамдард изготовлен из растительного сырья и не имеет побочных эффектов в отличии от синтетических препаратов. Является эффективным лечебным средством, при проблемах возникающих с токсическим состоянием крови, что в свою очередь оказывает антибактериальное и антисептическое действие. Благодаря этим качествам сироп Safi оказывает противовоспалительное действие, устраняя нарывы, охлаждает кровь, а так же устраняет лихорадки и оказывает очистительное действие на печень.

Компания Hamdard является одной из лабораторий Индии, которая поддерживает классику Аюрведы и производит Арведические продукты придерживаясь строго подлинных древних текстов, написанных еще 5000 лет назад. В свое время, создатель и основатель, на то время еще очень маленькой компании, Hakeem Abdul Majeed, готовил лекарства на заказ для своих пациентов, при этом методику и состав приготовления лекарств держал в строгом секрете. Хаким Абдул старался максимально эффективно приблизить формулы Аюрведы к совершенству, заботясь не только о составе, но и так же о методике приготовления, что является очень важным фактором. Он был человеком широкой души, он мечтал о том, что бы Его успехом в совершенных составах которым он отдал много лет, могли воспользоваться миллионы людей. Неудивительно, что Hamdard,(так была названа его компания) переводится так «sympathy for all and sharing of pain», что в переводе на русский означает «Сочувствие и сопереживания боли каждого». Своими успешными формулами Хаким Абдул добился большого успеха, хотя и не прожил долго, но его имя в Индии громко вошло в 20 век, и завод Хамдард производит по сей день Аюрведические лекарства с теми же неизменными рецептами и методикой, которой строго следовал сам Хаким Абдул.
Среди всех рецептов главный из них - это сироп Сафи, обладающий универсальным воздействием, и при этом сохранившим свою индивидуальность, направленную на очищение крови, что делает его лучшим лекарственным травяным сбором нетрадиционной медицины, способствующим профилактике и лечению практически всех заболеваний кожи. Очищая кровь, этот уникальный состав Safi способствует избавлению от многих дерматологических заболеваний: угревой сыпи, прыщей, фурункулов, кожного зуда, улучшает состав крови и помогает убрать темные круги под глазами, рубцы от угрей, а так же способствует улучшению цвета лица.

Так же Сироп Safi очень эффективен при лечении хронических запоров, избыточном весе, улучшет обмен веществ, полезен при частых простудных заболеваниях, сопровождающихся лихорадкой. Травы, входящие в состав Сафи, используются для лечения многих болезней.
Лист сены и корень ревеня, входящие в состав сиропа Сафи, обеспечивают ему хорошее послабляющее действие, избавляя организм от запоров и избыточного веса. Также, сироп Сафи используется как диуретик, поскольку обладает выраженным мочегонным действием. 
Особенно рекомендуется принимать сироп Сафи детям при таких заболеваниях как корь, зуд, кожная сыпь, а также подросткам в переходный период и людям с хроническими заболеваниями кожи и общей интоксикацией организма.";1043;;https://5.imimg.com/data5/SF/WO/MY-50907774/hamdard-safi-500ml-500x500.jpg;;;Здоровье;Сироп;Hamdard
"GLUCOMAP Maharishi Ayurveda (Глюкомап, Махариши, 100 таб.";"Аюрведическое средство Глюкомап создано для облегчения состояния больных диабетом 2 типа (инсулинонезависимый тип).**Диабет** - неприятное и опасное заболевание. Однако опыт миллионов людей и многочисленные медицинские исследования подтверждают, что своевременная диагностика, корректировка образа жизни и внутренних установок, а также правильно подобранные препараты способны значительно облегчить состояние больных и снизить риск появления осложнений.**Действие:**- Профилактика диабета и лечение диабета 2 типа- Снижение риска развития диабетических осложнений- Желчегонное действие- Защита печени и ее оздоровление- Профилактика жирового гепатоза- Нормализация обменных процессов- Улучшение деятельности поджелудочной железы- Нормализация уровня глюкозы- Улучшение работы сердца- Очищение сосудовДозировка: 1-2 таблетки 2р/сутки после еды.Для определения точной дозировки в каждом конкретном случае рекомендуется проконсультироваться со специалистом.";765;;https://disk.yandex.ru/d/H8vPocFHGu1ZZQ/Maharishi/IMG_0105.jpg;;;Здоровье;Бад;Maharishi Ayurveda
"Супрадин - мультивитаминный комплекс, Индия (SUPRADYN MULTIVITAMIN), 15 таблеток
";"Представляем вашему вниманию комплекс витаминов индийского производства. Его прием обеспечит организм жизненно важными веществами. Продукт содержит 12 витаминов, минералов и микроэлементов. Препарат можно принимать как взрослым¸так и детям. Прием комплекса «Супрадин» ускоряет метаболические процессы. Продукт восполняет недостаток витаминов и минералов, а также повышает сопротивляемость организма к развитию различных болезней. 

Прием «Супрадина» позволит противостоять инфекциям и вирусам. Мультивитаминный комплекс защитит ваш организм от простудных заболеваний. Препарат эффективен при гиповитаминозе и нарушениях метаболических процессов. Его прием позволит организму легче перенести период реабилитации после операций или тяжелых заболеваний.";185;;https://static.price.ru/images/models/944x944/lekarstvenniy/preparat-supradin-tabletki-15-sht/3bbfab8481e3217d2b558a177902ecf9.JPEG;;;Здоровье;Бад;Supradyn
"Медха Вати Дивья Патанджали / Medha Vati Divya Patanjali, 120 таб.";"Медха Вати – растительный препарат, компоненты которого идеально подобраны для возможности эффективного питания клеток мозга и сохранения его работоспособности даже в пожилом возрасте, а также для поддержания равновесия между всеми функциями мозговой деятельности. Медха Вати применяют при ухудшении памяти, трудностях сосредоточения, для повышения эффективности учебного процесса. Он также прекрасно снимает симптомы тревоги, борется с рассеянностью мыслей, негативным мышлением при депрессивных расстройствах, оказывает благотворное воздействие при резких перепадах настроения и неврозах, способствует восстановлению духовного спокойствия.";630;700;https://disk.yandex.ru/d/H8vPocFHGu1ZZQ/Patanjali_Divya/IMG_0060%20(2).jpg;;;Здоровье;Бад;Patanjali
"Divya MUKTA VATI (Мукта Вати, помощь при высоком давлении";"Дивья Мукта Вати - средство, которое быстро нормализует высокое давление, спровоцированное самыми разными причинами. Не имеет побочных эффектов. Гармонизирует нервную систему, восстанавливая эмоциональный баланс. ... Но Дивья Мукта Вати можно принимать и на коротком промежутке времени, если повышенное давление — эпизодическое явление, которое случается редко. Средство снимает беспокойство, бессонницу, учащенное сердцебиение, боль в груди и голове. Что важно, при его приеме не требуются дополнительные лекарства.";630;700;https://disk.yandex.ru/d/H8vPocFHGu1ZZQ/Patanjali_Divya/IMG_0062.jpg;;;Здоровье;Бад;Divya
"MADHUNASHINI VATI Extrapower, Divya (МАДХУНАШИНИ ВАТИ, Помощь при сахарном диабете, Дивья), 120 таб.";"Мадхунашини Вати – растительное средство, которое применяется в целях снижения интенсивности симптомов и нарушений в работе организма из-за диабета. Тонизирует и укрепляет иммунную защиту организма, способствует ускоренной регенерации тканей. Нормализует показатели глюкозы и других лабораторных измерений при диабете";630;700;https://disk.yandex.ru/d/H8vPocFHGu1ZZQ/Patanjali_Divya/IMG_0061%20(2).jpg;;;Здоровье;Бад;Divya
"ISOTINE eye drop Jagat Pharma (Аюрведические глазые капли), 10 мл";"Айсотин – раствор капель для глаз на основе биологически активного комплекса аюрведических трав, действие которых направлено на восстановление зрения и укрепление здоровья органа зрения без хирургического вмешательства. Может быть полезен при многих офтальмологических патологиях. Состав и форма выпуска. Айсотин – раствор капель для глаз прозрачный, стерильный содержит ... Раствор капель глазных Айсотин считается, используемой в офтальмологии биологически активной добавкой, включающей комплекс аюрведических трав.";252;280;https://cdn.100sp.ru/pictures/170516115;;;Здоровье;Уход за глазами;Jagat Pharma
"ISOTINE plus eye drop Jagat Pharma (Аюрведические глазые капли), 10 мл";"Айсотин плюс – раствор капель для глаз на основе биологически активного комплекса аюрведических трав, действие которых направлено на восстановление зрения и укрепление здоровья органа зрения без хирургического вмешательства. Может быть полезен при многих офтальмологических патологиях. Состав и форма выпуска. Айсотин – раствор капель для глаз прозрачный, стерильный содержит ... Раствор капель глазных Айсотин считается, используемой в офтальмологии биологически активной добавкой, включающей комплекс аюрведических трав.";252;280;https://svitovederevo.com.ua/images/product_images/info_images/isotine-plus-pharma-10-ml-india.jpg;;;Здоровье;Уход за глазами;Jagat Pharma
"ITONE Eye Drops Dey's Глазные капли Айтон, 10 мл";"ITONE Eye Drops Глазные капли Айтон. Идеальное средство для гигиены глаз и поддержания хорошего зрения. Эта уникальная комбинация лекарственных растений и минералов, приготовленная на современном фармацевтическом оборудовании по всем канонам аюрведической медицины. ... В глазных каплях ITONE в качестве основных компонентов состава используются экстракты розы дамаскской, барбариса, сандала красного и белого, бурхавии диффузной, трифалы, коллоидной взвеси жемчуга и мёда, а также различные минеральные соли, имеющие выраженные антисептические и противовоспалительные эффекты";153;170;https://makutu.ru/wa-data/public/shop/products/70/84/8470/images/10737/10737.600.jpg;;;Здоровье;Уход за глазами;Dey's
"Капли для глаз Уджала Хималая (Ujala Himalaya), 5 мл";"Уджала - глазной тоник, применяемый при катаракте, очищающие хрусталик глаза без хирургического вмешательства. Средство снимает усталость и напряжение после продолжительной нагрузки на глаза при работе с компьютером, оптикой, управлении автомобилем, а также устраняет раздражение и красноту после контакта глаз с водой. ... снимает раздражение; снимает усталость; улучшение зрения, восстановление, увлажнение. ";72;80;https://ayurvedabazaar.ru/wa-data/public/shop/products/38/14/1438/images/2583/2583.600.jpg;;;Здоровье;Уход за глазами;Himalaya
"МЕДОХАР ВАТИ ДИВЬЯ (DIVYA MEDOHAR VATI) для похудения, Patanjali, 100 табл";"Медохар Вати — выдающийся аюрведический травяной продукт для снижения веса. За неделю он улучшает пищеварение и уменьшает отложение жира. Он сочетает в себе омолаживающее действие с глубоко проникающим и очищающим действием. Все препараты из разряда «Вати» в аюрведе являются очень сильными и эффективными лечебными средствами. Не исключением является и «Дивья Медохар Вати». Этот препарат предназначен в первую очередь для того, чтобы привести в порядок сосуды, пострадавшие от различных болезней и неправильного образа жизни, а также наладить обмен веществ.

Свойства:

«Дивья Медохар Вати» регулирует образование и расщепление жировой ткани, помогая привести фигуру в норму.

Также средство помогает пищеварительной и желчевыводящей системе и очищает организм в целом.
Защищает от таких опасных нарушений, как атеросклеротические бляшки, увеличенный просвет сосудов, тромбоз.
Просто попробуйте этот препарат, и Ваше самочувствие улучшится.
Аюрведа рекомендует прием «Медохар Вати» при малоподвижном и сидячем образе жизни, высококалорийной диете с большим количеством жиров и наличии избыточного веса.";324;360;https://onlineindia.ru/wp-content/uploads/2020/10/Медохар-Вати-для-похудения-100-таб-500-мг-Medohar-Vati-произв.-Patanjali-768x768.jpg ;;;Здоровье;Уход за полостью рта;Divya
"DANT KANTI Patanjali (ДАНТ КАНТИ, аюрведическая зубная паста, Патанджали), 100 г.";"Благодаря богатому натуральному составу, зубная паста не только прекрасно очищает и освежает ротовую полость, но дает долгосрочный эффект в лечении и профилактики различных стоматологических заболеваний.Зубная паста помогает не только предотвратить и избавиться от таких неприятных симптомов, как инфекции, кровоточивость, воспаления, излишняя болезненность и чувствительность десен, но и снизить риск возникновения кариеса и размножения болезнетворных бактерий в полости рта. Паста имеет мягкую консистенцию и приятный вкус трав и специй, позволяет надолго сохранить ощущение чистоты зубов и свежего дыхания.

Способ применения:2 раза в день, утром и вечером перед отходом ко сну, а также после каждого приема пищи.";208;232;https://images.wbstatic.net/big/new/33160000/33166062-1.jpg;https://onlineindia.ru/wp-content/uploads/2020/11/Зубная-паста-Дант-Канти-100-г-Dant-Kanti-Tooth-Paste-произв.-Patanjali.jpg;;Гигиена;Уход за полостью рта;Patanjali
"DANT KANTI Natural, Patanjali (ДАНТ КАНТИ Нэчрл, Аюрведическая зубная паста, Патанджали), 200 г.";"Благодаря богатому натуральному составу, зубная паста не только прекрасно очищает и освежает ротовую полость, но дает долгосрочный эффект в лечении и профилактики различных стоматологических заболеваний.Зубная паста помогает не только предотвратить и избавиться от таких неприятных симптомов, как инфекции, кровоточивость, воспаления, излишняя болезненность и чувствительность десен, но и снизить риск возникновения кариеса и размножения болезнетворных бактерий в полости рта. Паста имеет мягкую консистенцию и приятный вкус трав и специй, позволяет надолго сохранить ощущение чистоты зубов и свежего дыхания.

Способ применения:2 раза в день, утром и вечером перед отходом ко сну, а также после каждого приема пищи.";432;480;https://bharatbazaar.in/image/cache/catalog/Dant%20Kanti%20Toothpaste-1000x1000.jpg;;;Гигиена;Уход за полостью рта;Patanjali
"Йогарадж Гуггул (Yograj Guggulu) Baidyanath, 120 таб.";"Йогарадж Гуггул - древнейшая аюрведическая фиторецептура. Самый активный компонент препарата - смола Мирра (Mukul myrr treе - Commiphora Mucul) или Гуггул (Гуггулипид). Благодаря биохимическим исследованиям стало известно, что Йогорадж Гуггул активизирует центры саморегуляции и детоксикации позвоночника, суставов и почек. Это приводит к тому, что клеточные шлаки, эндотоксины удаляются из организма, отеки и воспаления суставов уменьшаются, стабилизируется микроциркуляция в тканях, химический состав и объем синовиальной жидкости нормализуется, производится активнее регенерация хрящей, улучшается иммунитет, убирается суставная боль";324;360;https://avatars.mds.yandex.net/get-mpic/5236458/img_id7298388109203538276.jpeg/600x800;;;Здоровье;Бад;Baidyanath
"Baidyanath KANCHNAR Guggul (Канчнар Гуггул), 80 таб";"Канчнар Гуггул - препарат, который эффективно очищает кровеносную систему, лимфу, нормализует уровень холестерина и лейкоцитов в крови, восстанавливает работу внутренних органов. Способствует гармонизации работы эндокринной системы. Часто применяется для снижения веса. ... Канчнар Гуггул используют в комбинации с другими препаратами в терапии проблема с щитовидной железой, эндокринных расстройствах, увеличенной щитовидной железы, так как приводит в норму выработку гормона и уменьшает зоб. Приём одновременно с Дашамулой значительно повышает эффект воздействия Канчнар Гуггул.";270;300;https://disk.yandex.ru/d/H8vPocFHGu1ZZQ/Baidyanath/IMG_0014.jpg;;;Здоровье;Бад;Baidyanath
"TURMERIC PLUS With Pepper, Sri Sri Tattva (ТУРМЕРИК ПЛЮС, ШРИ ШРИ), 60 таб";"ТУРМЕРИК ПЛЮС. Куркума с черным перцем (Turmeric Plus With Pepper) компании Sri Sri Ayurveda/Tattva – препарат, содержащий куркумин, целебную специю с противовоспалительным, антисептическим и антибактериальным действием. Действие куркумина усиливается благодаря включению в формулу препарата черного перца: алкалоид пиперин в его составе увеличивает биодоступность куркумина и умножает его эффективность.Препарат рекомендуется для усиления иммунитета, улучшения работы сердца, состояния кожи и волос, суставов, для коррекции веса, оптимизации работы ЖКТ, печени. Он полезен при нарушениях кровообращения, аллергических расстройствах, диабете, глазных заболеваниях.";324;360;https://avatars.mds.yandex.net/i?id=685dd1ffa91e8d17bbe2530840be839a-5216221-images-thumbs&n=13;;;Здоровье;Бад;Sri Sri tattva
"BLACKSEED CREAM Helps in relaxation, Hemani (Массажный расслабляющий крем ЧЕРНЫЕ СЕМЕНА, Хемани), 50 мл";"Крем ""Hemani"" с черным тмином - эффективное средство, справляющееся с проблемами опорно-двигательной системы, такими как растяжения, боли в мышцах и суставах, артрит, остеохондроз и др. Благодаря натуральным компонентам крем снимает боль, устраняет последствия травм и ушибов. При мышечных болях крем рекомендуется наносить на пораженные участки после принятие горячей ванны. Используется для наружного применения. Избегать попадания в глаза и на слизистую оболочку. ";405;450;https://avatars.mds.yandex.net/get-mpic/5323357/img_id1805553983273996167.jpeg/14hq;https://images.wbstatic.net/big/new/75640000/75647296-1.jpg;;Здоровье;Уход за телом;Hemani
" ANTI WRINKLE & ANTI AGING CREAM, Hemani (Крем АНТИВОЗРАСТНОЙ ПРОТИВ МОРЩИН, Хемани), 80 мл.";"Если Вы столкнулись с проблемой, связанной с состоянием кожи на лице, с появлением морщин, сухости или, наоборот, повышенной жирности кожи, то Вам следует прибегнуть к нашей продукции. Крем против морщин Жемчуг – прекрасное средство от морщин, для омолаживания кожи, для восстановления эпидермиса. Приятный аромат, уникальные лекарственные и восстановительные свойства крема делают его просто незаменимым для тех, кто хочет выглядеть молодо и привлекательно.
Крем, обогащенный экстрактом жемчуга для сохранения здоровья и молодости кожи.
Противовозрастной крем от морщин с натуральными экстрактами растений и жемчуга помогает поддерживать кожу здоровой и молодой. Защищает от преждевременного старения. Экстракт жемчуга содержит особый комплекс натуральных ингредиентов, который доказал свои целебные свойства на кожу человека. Данный крем также способствует отшелушиванию и служит легким пилингом, устраняя мертвые клетки кожи, которые образуются на поверхности кожи, а также мелкие и мимические морщины.
Подходит для всех типов кожи. Только для наружного применения.
Инструкция:

Рекомендуется для ежедневного применения для очищения и омоложения кожи вашего лица. Наносите крем на очищенную кожу мягкими массирующими движениями до полного впитывания.";378;437;https://shopmagrib.ru/image/cache/catalog/krem/14krem_anti_wrinkle_anti_aging-1000x1000.jpg;https://sun9-54.userapi.com/c857532/v857532501/d19d3/lkpD8Ld597U.jpg;;Красота;Уход за лицом;Hemani
"COSTUS ROOT POWDER, Hemani (КЫСТ-АЛЬ ХИНДИ корень, порошок, Хемани), банка, 200 г. ";"Кыст Аль Хинди - это природный тоник, афродизиак, лечит желудочно-кишечные нарушения и заболевания дыхательных путей, астмы, кашля, устраняет газы, спазмы, обладает антисептическими, противовоспалительными, ранозаживляющими, глистогонными свойствами, улучшает цвет лица, придает коже гладкость и сияние, отбеливает, используется в ароматерапии и парфюмерии.Лечебные свойства кыст аль-Хинди:- как общеукрепляющее средство, улучшающее состояние организма, дающее бодрость и хорошее настроение- для улучшения пищеварения, при желудочно-кишечных нарушениях, коликах, запорах, как ветрогонное- при язвенной болезни желудка- для лечения кожных заболеваний, в том числе проказы, и заживления ран - язв, порезов, нарывов, фурункулов- при заболеваниях дыхательных путей, астме, бронхите, лихорадке.Применение: - Профилактика:Принимать по 0,5 чайной ложки на стакан теплой воды 1-2 раза в день.- Лечение:Молотый корень принимать по 1 чайной ложке 3-5 раз в сутки на стакан теплой воды.

";528;587;https://cdn1.ozone.ru/s3/multimedia-q/6068356394.jpg;;;Здоровье;Бад;Hemani
" YOGRAJ GUGGULU Baidyanath (ЙОГАРАДЖ ГУГГУЛ, очищение и восстановление организма, Байдьянатх), 120 таб.";"Йогарадж гуггул – королевская лекарственная формула для оздоровления суставов. Традиционно данный препарат применяется в Индии при расстройствах нервной системы и проблемах опорно-двигательного аппарата, связанных с дисбалансом Вата-доши. Состав средства довольно сложен и включает в себя около 30 ингредиентов растительно-минерального происхождения, которые воздействуют как антиоксиданты на опорно-двигательную систему. Yograj Guggulu Baidyanath (Йогарадж Гуггул Байдианат) (120 таблеток) Yograj Guggulu Baidyanath (Йогарадж Гуггул Байдианат) - аюрведический препарат, который используется для лечения артритов и болей в суставах и мышцах. Основные свойства Йогарадж Гуггул Байдианат: усиливает метаболизм выводит шлаки и токсины из организма омолаживает организм укрепляет кости и нервную систему снимает боль и воспаления повышает иммунитет";396;440;https://disk.yandex.ru/d/H8vPocFHGu1ZZQ/Baidyanath/IMG_0015.jpg;;;Здоровье;Бад;Baidyanath
"BILVA TAIL, Baidyanath (БИЛВА ТАЙЛ масло от ушных болезней, Байдьянатх), 25 мл.
";"Билва Тайл от Байдьянатх - препарат в форме масляных капель, который поможет Вам навсегда забыть о болезнях ушей. Это полностью натуральное и эффективное средство, в основе которого лежит древняя рецептура, обладающая мощным антисептическим и противовоспалительным эффектом.

Ухо является наиболее чувствительным органом в теле человека, которое способно различать тысячи самых разнообразных звуковых импульсов, придающих нашей жизни неповторимые краски. Поэтому заботиться о его здоровье необходимо тщательно, вовремя предупреждая различные осложнения, способные стать причиной полной или частичной потери слуха.

Данный препарат способствует не только защите слуховых каналов от воспалительных процессов и различных повреждений, но и способно уменьшить уже имеющиеся проблемы со слухом, помогает улучшить слух при различных степенях глухоты. Оно не содержит в своём составе вредных химических веществ, что делает его безопасным и чрезвычайно эффективным средством при целом ряде заболеваний ушей. Речь идет о таких проблемах, как отит, тимпанит, боль в ушах, глухота и другие.

Масло Билва Тайл желательно использовать в сочетании с препаратом Ашвагандха Чурна, диетой и масляным массажем. В этом случае оно окажет максимальный эффект. В период лечения желательно употреблять свежеприготовленную теплую пищу. Однако даже при применении одного только этого масла Вы ощутите значительное улучшение своего состояния.";288;320;https://disk.yandex.ru/d/H8vPocFHGu1ZZQ/Baidyanath/IMG_0026.jpg;;;Здоровье;Уход за телом;Baidyanath
"BILVA TAIL, Baidyanath (БИЛВА ТАЙЛ масло от ушных болезней, Байдьянатх), 50 мл.
";"Билва Тайл от Байдьянатх - препарат в форме масляных капель, который поможет Вам навсегда забыть о болезнях ушей. Это полностью натуральное и эффективное средство, в основе которого лежит древняя рецептура, обладающая мощным антисептическим и противовоспалительным эффектом.

Ухо является наиболее чувствительным органом в теле человека, которое способно различать тысячи самых разнообразных звуковых импульсов, придающих нашей жизни неповторимые краски. Поэтому заботиться о его здоровье необходимо тщательно, вовремя предупреждая различные осложнения, способные стать причиной полной или частичной потери слуха.

Данный препарат способствует не только защите слуховых каналов от воспалительных процессов и различных повреждений, но и способно уменьшить уже имеющиеся проблемы со слухом, помогает улучшить слух при различных степенях глухоты. Оно не содержит в своём составе вредных химических веществ, что делает его безопасным и чрезвычайно эффективным средством при целом ряде заболеваний ушей. Речь идет о таких проблемах, как отит, тимпанит, боль в ушах, глухота и другие.

Масло Билва Тайл желательно использовать в сочетании с препаратом Ашвагандха Чурна, диетой и масляным массажем. В этом случае оно окажет максимальный эффект. В период лечения желательно употреблять свежеприготовленную теплую пищу. Однако даже при применении одного только этого масла Вы ощутите значительное улучшение своего состояния.";306;340;https://disk.yandex.ru/d/H8vPocFHGu1ZZQ/Baidyanath/IMG_0026.jpg;;;Здоровье;Уход за телом;Baidyanath
"SHADBINDU Tail Baidyanath (Шадбинду, масло от насморка и гайморита, Бадьянатх), 25 мл.
";"Шадбинду таил - смесь трав, настоянных на кунжутном масле. Данная комбинация трав в сочетании с кунжутным маслом прекрасно воздействует на гайморовые пазухи носа, удаляя избыточную слизь, снимая насморк, воспалительные процессы, отечность и головные боли, связанные с избыточным содержанием слизи в верхних дыхательных путях.

Название масла происходит от дозы на приём — шесть капель.

Масло Шадбинду — это смесь трав, настоянных на кунжутном масле. Данная комбинация трав в сочетании с кунжутным маслом прекрасно воздействует на гайморовые пазухи носа, удаляя избыточную слизь, снимая воспалительные процессы, отечность и головные боли, связанные с избыточным содержанием слизи в верхних дыхательных путях.";216;240;https://disk.yandex.ru/d/H8vPocFHGu1ZZQ/Baidyanath/IMG_0053.jpg;;;Здоровье;Уход за телом;Baidyanath
"SHADBINDU Tail Baidyanath (Шадбинду, масло от насморка и гайморита, Бадьянатх), 50 мл.
";"Шадбинду таил - смесь трав, настоянных на кунжутном масле. Данная комбинация трав в сочетании с кунжутным маслом прекрасно воздействует на гайморовые пазухи носа, удаляя избыточную слизь, снимая насморк, воспалительные процессы, отечность и головные боли, связанные с избыточным содержанием слизи в верхних дыхательных путях.

Название масла происходит от дозы на приём — шесть капель.

Масло Шадбинду — это смесь трав, настоянных на кунжутном масле. Данная комбинация трав в сочетании с кунжутным маслом прекрасно воздействует на гайморовые пазухи носа, удаляя избыточную слизь, снимая воспалительные процессы, отечность и головные боли, связанные с избыточным содержанием слизи в верхних дыхательных путях.";306;340;https://disk.yandex.ru/d/H8vPocFHGu1ZZQ/Baidyanath/IMG_0053.jpg;;;Здоровье;Уход за телом;Baidyanath
"COLD BALM Rapid action Himalaya (Бальзам от простуды быстрого действия, Хималая), 10 г.
";"Растительный согревающий бальзам от простуды Cold Balm Himalaya поможет забыть обо всех симптомах ОРЗ, избавив от заложенности носа и болезни горла, чувства тяжести и слабости. Он снимает простудные симптомы уже в первые минуты после нанесения.
 
Аюрведический бальзам – лучшее натуральное средство, обладающее противовирусным, противовоспалительным, успокаивающим действием. Он благотворно влияет на организм в целом, укрепляя его и усиливая защитные функции.
 
Индийские целители рекомендуют купить бальзам от простуды для домашней аптечки и использовать его для предотвращения заболеваний дыхательной системы. Полностью растительный состав позволяет использовать его даже во время беременности, когда многие аптечные препараты строго запрещены.
 
Терапевтическое действие бальзама от простуды Cold Balm Himalaya
 

Как и все товары из Индии торговой марки Гималая, бальзам от простуды – полностью растительный препарат, созданный по всем канонам аюрведы. Секрет его действия в слаженной работе трав и масле, которые усиливают действие друг друга.
 ";162;180;https://india-bazar.ru/images/stories/virtuemart/product/himalaya-cold-balm-rapid-action-balzam-ot-prostudy-bystrogo-dejstviya-khimalaya-10-g.jpg;;;Здоровье;Уход за телом;Himalaya
